Layer,R@20,R@50,R@100,mR@20,mR@50,mR@100,class_error,rel_error,AP_IoU_50_95,AP_IoU_50,AR_IoU_50_95
0,0.098995,0.122900,0.133431,0.027470,0.036001,0.039858,49.53,72.22,0.051,0.120,0.188
1,0.113324,0.141114,0.154033,0.035114,0.042721,0.047664,50.47,75.00,0.060,0.138,0.208
2,0.133764,0.164490,0.177024,0.038125,0.048168,0.052679,44.86,69.44,0.072,0.163,0.227
3,0.153116,0.187163,0.201111,0.046005,0.058287,0.063503,45.79,66.67,0.083,0.183,0.247
4,0.167450,0.206348,0.225038,0.045013,0.063768,0.070593,35.51,61.11,0.095,0.204,0.262
